

GENERAL INFORMATIONS

Informations on NET;;
;;
Version;anNET 1.1.06;
Date;15-Sep-2016 14:52:36;
Model;/ssd/common/tools/anNET/1.1.06/Ecoli_JR904.csv;
Data;/ssd/common/tools/anNET/1.1.06/Schaub.csv;
Thermo;/ssd/common/tools/anNET/1.1.06/Alberty_ext.csv;
Solver;fmincon;
Time elapsed;00:21:50;
;;
Original size;;
Metabolites;762;
Reactions;923;
;;
Reduced model;;
Metabolites;144;
Reactions;163;
Sums;4;
Ratios;3;



CONCENTRATIONS

Metabolite;DfG'�;Range Min;Range Max;Optim Min;Optim Max;
nad[c];1145.33;0.0001;10;0.0331983;10;
nh4[c];96.2508;0.0001;10;0.0001;10;
no2[c];-32.8971;0.0001;10;0.0001;10;
no3[c];-109.437;0.0001;10;0.0001;10;
o2[c];16.4;0.001;0.1;0.001;0.1;
o2[e];16.4;0.001;0.1;0.001;0.1;
oaa[c];-707.922;0.0001;10;0.00051201;10;
pep[c];-1181.88;1.602;1.958;1.602;1.8627;
phe-L[c];277.674;0.0001;10;0.0001;10;
pi[c];-1055.12;1;10;1;10;
ppcoa[c];41.2506;0.0001;10;0.0001;10;
ppi[c];-1936.41;1;100;1;100;
prpp[c];-2949.11;0.0001;10;0.0001;10;
pser-L[c];-1099.12;0.0001;10;0.0001;10;
pyr[c];-340.733;1.737;2.123;1.737;2.123;
q8h2[c];3965.27;0.0001;10;0.0001;10;
q8[c];3967.03;0.0001;10;0.0001;10;
r1p[c];-1193.88;0.0001;10;0.0001;10;
r5p[c];-1201.96;0.0001;0.165;0.0394939;0.1648;
rib-D[c];-311.219;0.0001;10;0.0001;10;
ru5p-D[c];-1201.5;0.0001;0.165;0.0001;0.0748221;
ru5p-L[c];-1201.5;0.0001;10;0.0001;10;
s7p[c];-1336.14;0.0001;10;0.0001;10;
sbt6p[c];-1222.93;0.0001;10;0.0001;10;
ser-L[c];-202.43;0.0001;10;0.0001;10;
skm[c];-237.275;0.0001;10;0.0001;0.92281;
so3[c];-489.611;0.0001;10;0.0001;10;
so4[c];-747.318;0.0001;10;0.0001;10;
succoa[c];-334.105;0.0001;10;0.0001;10;
succ[c];-516.924;0.0001;10;0.0001;10;
thr-L[c];-132.321;0.0001;10;0.0001;10;
trdox[c];-0;0.0001;10;0.0001;10;
trdrd[c];61.3241;0.0001;10;0.0001;10;
tre[c];-613.042;0.0001;10;0.0001;10;
trp-L[c];414.169;0.0001;10;0.0001;10;
tyr-L[c];114.052;0.0001;10;0.0001;10;
urea[c];-26.4875;0.0001;10;0.0001;10;
val-L[c];126.175;0.0001;10;0.0001;10;
xan[c];466.266;0.0001;10;0.0001;10;
xmp[c];-581.252;0.0001;10;0.0001;10;
xtsn[c];311.236;0.0001;10;0.0001;10;
xu5p-D[c];-1203.11;0.0001;0.165;0.0001;0.0766345;
xyl-D[c];-309.709;0.0001;10;0.0001;10;
xylu-D[c];-305.369;0.0001;10;0.0001;10;



THERMODYNAMIC DATA

Reaction;Extended;Model dir;Data dir;Partial data;RHS;delta r G Min;delta r G Max;
ALATA_L;[c]akg + ala-L <==> glu-L + pyr;0;0;0;0;NaN;NaN;
ASNN;[c]asn-L + h2o --> asp-L + nh4;1;0;0;0;NaN;NaN;
ASNS2;[c]asp-L + atp + nh4 --> amp + asn-L + h + ppi;1;0;0;0;NaN;NaN;
ASNS1;[c]asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi;1;0;0;0;NaN;NaN;
ASPT;[c]asp-L --> fum + nh4;1;0;0;0;NaN;NaN;
ASPTA;[c]akg + asp-L <==> glu-L + oaa;0;0;0;0;NaN;NaN;
A5PISO;[c]ru5p-D <==> ara5p;0;1;0;0;NaN;NaN;
MME;[c]mmcoa-R <==> mmcoa-S;0;0;0;0;NaN;NaN;
ALCD19;[c]glyald + h + nadh <==> glyc + nad;0;0;0;0;NaN;NaN;
ALDD2x;[c]acald + h2o + nad --> ac + (2) h + nadh;1;0;0;0;NaN;NaN;
RBP4E;[c]ru5p-L <==> xu5p-D;0;0;0;0;NaN;NaN;
ACACCT;[c]acac + accoa --> aacoa + ac;1;0;0;0;NaN;NaN;
PMANM;[c]man1p <==> man6p;0;0;0;0;NaN;NaN;
PPM2;[c]2dr1p <==> 2dr5p;0;0;0;0;NaN;NaN;
